Sample	Group	Gene	Ct
I.GFP.18.4th	vigs_infiltrated	UBQ14	21.6
I.GFP.18.4th	vigs_infiltrated	UBQ7	26.13
I.GFP.19.2nd	vigs_infiltrated	ACT7	20.53
I.GFP.19.2nd	vigs_infiltrated	PP2A1	26.23
I.GFP.19.2nd	vigs_infiltrated	TMN5	30.88
I.GFP.19.2nd	vigs_infiltrated	UBQ14	26.39
I.GFP.19.2nd	vigs_infiltrated	UBQ7	22.46
I.GFP.2.2nd	vigs_infiltrated	ACT7	21.24
I.GFP.2.2nd	vigs_infiltrated	PP2A1	26.41
I.GFP.2.2nd	vigs_infiltrated	TMN5	29.56
I.GFP.2.2nd	vigs_infiltrated	UBQ14	26.41
I.GFP.2.2nd	vigs_infiltrated	UBQ7	21.58
I.GFP.21.2nd	vigs_infiltrated	ACT7	20.76
I.GFP.21.2nd	vigs_infiltrated	PP2A1	27.13
I.GFP.21.2nd	vigs_infiltrated	TMN5	29.75
I.GFP.21.2nd	vigs_infiltrated	UBQ14	22.11
I.GFP.21.2nd	vigs_infiltrated	UBQ7	26.33
I.GFP.22.2nd	vigs_infiltrated	ACT7	20.33
I.GFP.22.2nd	vigs_infiltrated	PP2A1	26.23
I.GFP.22.2nd	vigs_infiltrated	TMN5	28.89
I.GFP.22.2nd	vigs_infiltrated	UBQ14	26.11
I.GFP.22.2nd	vigs_infiltrated	UBQ7	21.1
I.GFP.22.4th	vigs_infiltrated	ACT7	22.07
I.GFP.22.4th	vigs_infiltrated	PP2A1	28.67
I.GFP.22.4th	vigs_infiltrated	TMN5	31.49
I.GFP.22.4th	vigs_infiltrated	UBQ14	28.66
I.GFP.22.4th	vigs_infiltrated	UBQ7	23.95
I.GFP.23.2nd	vigs_infiltrated	ACT7	19.45
I.GFP.23.2nd	vigs_infiltrated	PP2A1	26.16
I.GFP.23.2nd	vigs_infiltrated	TMN5	29.03
I.GFP.23.2nd	vigs_infiltrated	UBQ14	25.74
I.GFP.23.2nd	vigs_infiltrated	UBQ7	20.42
I.GFP.24.2nd	vigs_infiltrated	ACT7	21.4
I.GFP.24.2nd	vigs_infiltrated	PP2A1	27.04
I.GFP.24.2nd	vigs_infiltrated	TMN5	30.31
I.GFP.24.2nd	vigs_infiltrated	UBQ14	26.89
I.GFP.24.2nd	vigs_infiltrated	UBQ7	21.98
I.GFP.25.4th	vigs_infiltrated	ACT7	21.13
I.GFP.25.4th	vigs_infiltrated	PP2A1	27.29
I.GFP.25.4th	vigs_infiltrated	TMN5	29.56
I.GFP.25.4th	vigs_infiltrated	UBQ14	27.72
I.GFP.25.4th	vigs_infiltrated	UBQ7	22.66
I.GFP.26.4th	vigs_infiltrated	ACT7	21.58
I.GFP.26.4th	vigs_infiltrated	PP2A1	26.8
I.GFP.26.4th	vigs_infiltrated	TMN5	30.82
I.GFP.26.4th	vigs_infiltrated	UBQ14	22.45
I.GFP.26.4th	vigs_infiltrated	UBQ7	27.52
I.GFP.27.2nd	vigs_infiltrated	ACT7	22.25
I.GFP.27.2nd	vigs_infiltrated	PP2A1	27.83
I.GFP.27.2nd	vigs_infiltrated	TMN5	32.05
I.GFP.27.2nd	vigs_infiltrated	UBQ14	28.26
I.GFP.27.2nd	vigs_infiltrated	UBQ7	23.87
I.GFP.27.4th	vigs_infiltrated	ACT7	21.15
I.GFP.27.4th	vigs_infiltrated	PP2A1	26.89
I.GFP.27.4th	vigs_infiltrated	TMN5	31.3
I.GFP.27.4th	vigs_infiltrated	UBQ14	27.12
I.GFP.27.4th	vigs_infiltrated	UBQ7	22.75
I.GFP.3.2nd	vigs_infiltrated	ACT7	21.97
I.GFP.3.2nd	vigs_infiltrated	PP2A1	27.71
I.GFP.3.2nd	vigs_infiltrated	TMN5	31.58
I.GFP.3.2nd	vigs_infiltrated	UBQ14	28.05
I.GFP.3.2nd	vigs_infiltrated	UBQ7	23.59
I.GFP.4.4th	vigs_infiltrated	ACT7	22.95
I.GFP.4.4th	vigs_infiltrated	PP2A1	28.96
I.GFP.4.4th	vigs_infiltrated	TMN5	32.26
I.GFP.4.4th	vigs_infiltrated	UBQ14	28.13
I.GFP.4.4th	vigs_infiltrated	UBQ7	23.84
I.GFP.5.2nd	vigs_infiltrated	ACT7	21.41
I.GFP.5.2nd	vigs_infiltrated	PP2A1	27.3
I.GFP.5.2nd	vigs_infiltrated	TMN5	29.51
I.GFP.5.2nd	vigs_infiltrated	UBQ14	22.28
I.GFP.5.2nd	vigs_infiltrated	UBQ7	26.57
I.GFP.7.2nd	vigs_infiltrated	ACT7	20.23
I.GFP.7.2nd	vigs_infiltrated	PP2A1	25.91
I.GFP.7.2nd	vigs_infiltrated	TMN5	30.39
I.GFP.7.2nd	vigs_infiltrated	UBQ14	26.02
I.GFP.7.2nd	vigs_infiltrated	UBQ7	21.48
I.GFP.8.4th	vigs_infiltrated	ACT7	23.15
I.GFP.8.4th	vigs_infiltrated	PP2A1	29.18
I.GFP.8.4th	vigs_infiltrated	TMN5	32.14
I.GFP.8.4th	vigs_infiltrated	UBQ14	29.56
I.GFP.8.4th	vigs_infiltrated	UBQ7	24.16
I.GFP.9.2nd	vigs_infiltrated	ACT7	21.66
I.GFP.9.2nd	vigs_infiltrated	PP2A1	27.29
I.GFP.9.2nd	vigs_infiltrated	TMN5	30.04
I.GFP.9.2nd	vigs_infiltrated	UBQ14	27.01
I.GFP.9.2nd	vigs_infiltrated	UBQ7	22.71
I.GFP.9.4th	vigs_infiltrated	ACT7	21.04
I.GFP.9.4th	vigs_infiltrated	PP2A1	26.87
I.GFP.9.4th	vigs_infiltrated	TMN5	29.5
I.GFP.9.4th	vigs_infiltrated	UBQ14	26.81
I.GFP.9.4th	vigs_infiltrated	UBQ7	22.04
Unif.21.2nd	infested	ACT7	20.93
Unif.21.2nd	infested	PP2A1	26.87
Unif.21.2nd	infested	TMN5	29.2
Unif.21.2nd	infested	UBQ14	26.3
Unif.21.2nd	infested	UBQ7	21.48
I.Unif.1.2nd	infested	ACT7	23.05
I.Unif.1.2nd	infested	PP2A1	30.73
I.Unif.1.2nd	infested	TMN5	32.72
I.Unif.1.2nd	infested	UBQ14	29.27
I.Unif.1.2nd	infested	UBQ7	28.72
I.Unif.1.4th	infested	ACT7	21.05
I.Unif.1.4th	infested	PP2A1	27.12
I.Unif.1.4th	infested	TMN5	29.67
I.Unif.1.4th	infested	UBQ14	27.1
I.Unif.1.4th	infested	UBQ7	21.15
I.Unif.13.2nd	infested	ACT7	22.35
I.Unif.13.2nd	infested	PP2A1	28.47
I.Unif.13.2nd	infested	TMN5	30.66
I.Unif.13.2nd	infested	UBQ14	23.51
I.Unif.13.2nd	infested	UBQ7	27.73
I.Unif.18.2nd	infested	ACT7	20.41
I.Unif.18.2nd	infested	PP2A1	26.79
I.Unif.18.2nd	infested	TMN5	29.36
I.Unif.18.2nd	infested	UBQ14	21.92
I.Unif.18.2nd	infested	UBQ7	25.97
I.Unif.2.4th	infested	ACT7	21.16
I.Unif.2.4th	infested	PP2A1	26.95
I.Unif.2.4th	infested	TMN5	29.74
I.Unif.2.4th	infested	UBQ14	27.1
I.Unif.2.4th	infested	UBQ7	21.37
I.Unif.9.2nd	infested	ACT7	20.66
I.Unif.9.2nd	infested	PP2A1	26.62
I.Unif.9.2nd	infested	TMN5	30.21
I.Unif.9.2nd	infested	UBQ14	26.34
I.Unif.9.2nd	infested	UBQ7	21.93
Unif.21.2nd	infested	ACT7	20.93
Unif.21.2nd	infested	PP2A1	26.87
Unif.21.2nd	infested	TMN5	29.2
Unif.21.2nd	infested	UBQ14	26.3
Unif.21.2nd	infested	UBQ7	21.48
I.Unif.1.2nd	infested	ACT7	23.05
I.Unif.1.2nd	infested	PP2A1	30.73
I.Unif.1.2nd	infested	TMN5	32.72
I.Unif.1.2nd	infested	UBQ14	29.27
I.Unif.1.2nd	infested	UBQ7	28.72
I.Unif.1.4th	infested	ACT7	21.05
I.Unif.1.4th	infested	PP2A1	27.12
I.Unif.1.4th	infested	TMN5	29.67
I.Unif.1.4th	infested	UBQ14	27.1
I.Unif.1.4th	infested	UBQ7	21.15
I.Unif.13.2nd	infested	ACT7	22.35
I.Unif.13.2nd	infested	PP2A1	28.47
I.Unif.13.2nd	infested	TMN5	30.66
I.Unif.13.2nd	infested	UBQ14	23.51
I.Unif.13.2nd	infested	UBQ7	27.73
I.Unif.18.2nd	infested	ACT7	20.41
I.Unif.18.2nd	infested	PP2A1	26.79
I.Unif.18.2nd	infested	TMN5	29.36
I.Unif.18.2nd	infested	UBQ14	21.92
I.Unif.18.2nd	infested	UBQ7	25.97
I.Unif.2.4th	infested	ACT7	21.16
I.Unif.2.4th	infested	PP2A1	26.95
I.Unif.2.4th	infested	TMN5	29.74
I.Unif.2.4th	infested	UBQ14	27.1
I.Unif.2.4th	infested	UBQ7	21.37
I.Unif.9.2nd	infested	ACT7	20.66
I.Unif.9.2nd	infested	PP2A1	26.62
I.Unif.9.2nd	infested	TMN5	30.21
I.Unif.9.2nd	infested	UBQ14	26.34
I.Unif.9.2nd	infested	UBQ7	21.93
I.GFP.10.4th	infested	ACT7	20.87
I.GFP.10.4th	infested	PP2A1	26.26
I.GFP.10.4th	infested	TMN5	28.34
I.GFP.10.4th	infested	UBQ14	26.53
I.GFP.10.4th	infested	UBQ7	21.16
I.GFP.17.2nd	infested	ACT7	22.6
I.GFP.17.2nd	infested	PP2A1	28.64
I.GFP.17.2nd	infested	TMN5	31.41
I.GFP.17.2nd	infested	UBQ14	28.7
I.GFP.17.2nd	infested	UBQ7	23.72
I.GFP.18.4th	infested	ACT7	20.9
I.GFP.18.4th	infested	PP2A1	26.56
I.GFP.18.4th	infested	TMN5	28.83
I.GFP.18.4th	infested	UBQ14	21.6
I.GFP.18.4th	infested	UBQ7	26.13
I.GFP.2.2nd	infested	ACT7	21.24
I.GFP.2.2nd	infested	PP2A1	26.41
I.GFP.2.2nd	infested	TMN5	29.56
I.GFP.2.2nd	infested	UBQ14	26.41
I.GFP.2.2nd	infested	UBQ7	21.58
I.GFP.21.2nd	infested	ACT7	20.76
I.GFP.21.2nd	infested	PP2A1	27.13
I.GFP.21.2nd	infested	TMN5	29.75
I.GFP.21.2nd	infested	UBQ14	22.11
I.GFP.21.2nd	infested	UBQ7	26.33
I.GFP.22.2nd	infested	ACT7	20.33
I.GFP.22.2nd	infested	PP2A1	26.23
I.GFP.22.2nd	infested	TMN5	28.89
I.GFP.22.2nd	infested	UBQ14	26.11
I.GFP.22.2nd	infested	UBQ7	21.1
I.GFP.22.4th	infested	ACT7	22.07
I.GFP.22.4th	infested	PP2A1	28.67
I.GFP.22.4th	infested	TMN5	31.49
I.GFP.22.4th	infested	UBQ14	28.66
I.GFP.22.4th	infested	UBQ7	23.95
I.GFP.25.4th	infested	ACT7	21.13
I.GFP.25.4th	infested	PP2A1	27.29
I.GFP.25.4th	infested	TMN5	29.56
I.GFP.25.4th	infested	UBQ14	27.72
I.GFP.25.4th	infested	UBQ7	22.66
I.GFP.26.4th	infested	ACT7	21.58
I.GFP.26.4th	infested	PP2A1	26.8
I.GFP.26.4th	infested	TMN5	30.82
I.GFP.26.4th	infested	UBQ14	22.45
I.GFP.26.4th	infested	UBQ7	27.52
I.GFP.5.2nd	infested	ACT7	21.41
I.GFP.5.2nd	infested	PP2A1	27.3
I.GFP.5.2nd	infested	TMN5	29.51
I.GFP.5.2nd	infested	UBQ14	22.28
I.GFP.5.2nd	infested	UBQ7	26.57
I.GFP.9.2nd	infested	ACT7	21.66
I.GFP.9.2nd	infested	PP2A1	27.29
I.GFP.9.2nd	infested	TMN5	30.04
I.GFP.9.2nd	infested	UBQ14	27.01
I.GFP.9.2nd	infested	UBQ7	22.71
I.GFP.9.4th	infested	ACT7	21.04
I.GFP.9.4th	infested	PP2A1	26.87
I.GFP.9.4th	infested	TMN5	29.5
I.GFP.9.4th	infested	UBQ14	26.81
I.GFP.9.4th	infested	UBQ7	22.04
I.Unif.11.2nd	unifested	ACT7	21.18
I.Unif.11.2nd	unifested	PP2A1	26.72
I.Unif.11.2nd	unifested	TMN5	30.11
I.Unif.11.2nd	unifested	UBQ14	27.38
I.Unif.11.2nd	unifested	UBQ7	22.13
I.Unif.12.2nd	unifested	ACT7	21.86
I.Unif.12.2nd	unifested	PP2A1	28.08
I.Unif.12.2nd	unifested	TMN5	30.97
I.Unif.12.2nd	unifested	UBQ14	27.4
I.Unif.12.2nd	unifested	UBQ7	22.79
I.Unif.12.4th	unifested	ACT7	22.96
I.Unif.12.4th	unifested	PP2A1	29.29
I.Unif.12.4th	unifested	TMN5	31.66
I.Unif.12.4th	unifested	UBQ14	30.1
I.Unif.12.4th	unifested	UBQ7	24.75
I.Unif.15.2nd	unifested	ACT7	21.37
I.Unif.15.2nd	unifested	PP2A1	27.83
I.Unif.15.2nd	unifested	TMN5	31.99
I.Unif.15.2nd	unifested	UBQ14	28.18
I.Unif.15.2nd	unifested	UBQ7	23.32
I.Unif.19.2nd	unifested	ACT7	20.81
I.Unif.19.2nd	unifested	PP2A1	26.97
I.Unif.19.2nd	unifested	TMN5	30.62
I.Unif.19.2nd	unifested	UBQ14	26.88
I.Unif.19.2nd	unifested	UBQ7	21.02
I.Unif.20.2nd	unifested	ACT7	21.47
I.Unif.20.2nd	unifested	PP2A1	26.82
I.Unif.20.2nd	unifested	TMN5	29.87
I.Unif.20.2nd	unifested	UBQ14	27.04
I.Unif.20.2nd	unifested	UBQ7	21.39
I.Unif.23.2nd	unifested	ACT7	22.51
I.Unif.23.2nd	unifested	PP2A1	28.6
I.Unif.23.2nd	unifested	TMN5	31.74
I.Unif.23.2nd	unifested	UBQ14	22.83
I.Unif.23.2nd	unifested	UBQ7	28.19
I.Unif.24.2nd	unifested	ACT7	23.78
I.Unif.24.2nd	unifested	PP2A1	30.29
I.Unif.24.2nd	unifested	TMN5	33.25
I.Unif.24.2nd	unifested	UBQ14	29.17
I.Unif.24.2nd	unifested	UBQ7	24.72
I.Unif.3.2nd	unifested	ACT7	20.42
I.Unif.3.2nd	unifested	PP2A1	27.39
I.Unif.3.2nd	unifested	TMN5	30.25
I.Unif.3.2nd	unifested	UBQ14	26.29
I.Unif.3.2nd	unifested	UBQ7	22.08
I.Unif.7.2nd	unifested	ACT7	20.69
I.Unif.7.2nd	unifested	PP2A1	26.5
I.Unif.7.2nd	unifested	TMN5	30.78
I.Unif.7.2nd	unifested	UBQ14	26.94
I.Unif.7.2nd	unifested	UBQ7	22.29
I.Unif.7.4th	unifested	ACT7	20.9
I.Unif.7.4th	unifested	PP2A1	26.71
I.Unif.7.4th	unifested	TMN5	30.55
I.Unif.7.4th	unifested	UBQ14	27.54
I.Unif.7.4th	unifested	UBQ7	21.5
I.Unif.8.2nd	unifested	ACT7	22.12
I.Unif.8.2nd	unifested	PP2A1	28.22
I.Unif.8.2nd	unifested	TMN5	31.6
I.Unif.8.2nd	unifested	UBQ14	27.27
I.Unif.8.2nd	unifested	UBQ7	23.78
I.Unif.11.2nd	unifested	ACT7	21.18
I.Unif.11.2nd	unifested	PP2A1	26.72
I.Unif.11.2nd	unifested	TMN5	30.11
I.Unif.11.2nd	unifested	UBQ14	27.38
I.Unif.11.2nd	unifested	UBQ7	22.13
I.Unif.12.2nd	unifested	ACT7	21.86
I.Unif.12.2nd	unifested	PP2A1	28.08
I.Unif.12.2nd	unifested	TMN5	30.97
I.Unif.12.2nd	unifested	UBQ14	27.4
I.Unif.12.2nd	unifested	UBQ7	22.79
I.Unif.12.4th	unifested	ACT7	22.96
I.Unif.12.4th	unifested	PP2A1	29.29
I.Unif.12.4th	unifested	TMN5	31.66
I.Unif.12.4th	unifested	UBQ14	30.1
I.Unif.12.4th	unifested	UBQ7	24.75
I.Unif.15.2nd	unifested	ACT7	21.37
I.Unif.15.2nd	unifested	PP2A1	27.83
I.Unif.15.2nd	unifested	TMN5	31.99
I.Unif.15.2nd	unifested	UBQ14	28.18
I.Unif.15.2nd	unifested	UBQ7	23.32
I.Unif.19.2nd	unifested	ACT7	20.81
I.Unif.19.2nd	unifested	PP2A1	26.97
I.Unif.19.2nd	unifested	TMN5	30.62
I.Unif.19.2nd	unifested	UBQ14	26.88
I.Unif.19.2nd	unifested	UBQ7	21.02
I.Unif.20.2nd	unifested	ACT7	21.47
I.Unif.20.2nd	unifested	PP2A1	26.82
I.Unif.20.2nd	unifested	TMN5	29.87
I.Unif.20.2nd	unifested	UBQ14	27.04
I.Unif.20.2nd	unifested	UBQ7	21.39
I.Unif.23.2nd	unifested	ACT7	22.51
I.Unif.23.2nd	unifested	PP2A1	28.6
I.Unif.23.2nd	unifested	TMN5	31.74
I.Unif.23.2nd	unifested	UBQ14	22.83
I.Unif.23.2nd	unifested	UBQ7	28.19
I.Unif.24.2nd	unifested	ACT7	23.78
I.Unif.24.2nd	unifested	PP2A1	30.29
I.Unif.24.2nd	unifested	TMN5	33.25
I.Unif.24.2nd	unifested	UBQ14	29.17
I.Unif.24.2nd	unifested	UBQ7	24.72
I.Unif.3.2nd	unifested	ACT7	20.42
I.Unif.3.2nd	unifested	PP2A1	27.39
I.Unif.3.2nd	unifested	TMN5	30.25
I.Unif.3.2nd	unifested	UBQ14	26.29
I.Unif.3.2nd	unifested	UBQ7	22.08
I.Unif.7.2nd	unifested	ACT7	20.69
I.Unif.7.2nd	unifested	PP2A1	26.5
I.Unif.7.2nd	unifested	TMN5	30.78
I.Unif.7.2nd	unifested	UBQ14	26.94
I.Unif.7.2nd	unifested	UBQ7	22.29
I.Unif.7.4th	unifested	ACT7	20.9
I.Unif.7.4th	unifested	PP2A1	26.71
I.Unif.7.4th	unifested	TMN5	30.55
I.Unif.7.4th	unifested	UBQ14	27.54
I.Unif.7.4th	unifested	UBQ7	21.5
I.Unif.8.2nd	unifested	ACT7	22.12
I.Unif.8.2nd	unifested	PP2A1	28.22
I.Unif.8.2nd	unifested	TMN5	31.6
I.Unif.8.2nd	unifested	UBQ14	27.27
I.Unif.8.2nd	unifested	UBQ7	23.78
I.GFP.11.2nd	unifested	ACT7	20.19
I.GFP.11.2nd	unifested	PP2A1	26.44
I.GFP.11.2nd	unifested	TMN5	29.99
I.GFP.11.2nd	unifested	UBQ14	22.07
I.GFP.11.2nd	unifested	UBQ7	26.27
I.GFP.11.4th	unifested	ACT7	19.99
I.GFP.11.4th	unifested	PP2A1	26.06
I.GFP.11.4th	unifested	TMN5	28.46
I.GFP.11.4th	unifested	UBQ14	25.77
I.GFP.11.4th	unifested	UBQ7	22.23
I.GFP.16.2nd	unifested	ACT7	20.58
I.GFP.16.2nd	unifested	PP2A1	26.64
I.GFP.16.2nd	unifested	TMN5	29.65
I.GFP.16.2nd	unifested	UBQ14	26.16
I.GFP.16.2nd	unifested	UBQ7	21.51
I.GFP.16.4th	unifested	ACT7	23.16
I.GFP.16.4th	unifested	PP2A1	29.7
I.GFP.16.4th	unifested	TMN5	32.24
I.GFP.16.4th	unifested	UBQ14	29.65
I.GFP.16.4th	unifested	UBQ7	25.1
I.GFP.19.2nd	unifested	ACT7	20.53
I.GFP.19.2nd	unifested	PP2A1	26.23
I.GFP.19.2nd	unifested	TMN5	30.88
I.GFP.19.2nd	unifested	UBQ14	26.39
I.GFP.19.2nd	unifested	UBQ7	22.46
I.GFP.23.2nd	unifested	ACT7	19.45
I.GFP.23.2nd	unifested	PP2A1	26.16
I.GFP.23.2nd	unifested	TMN5	29.03
I.GFP.23.2nd	unifested	UBQ14	25.74
I.GFP.23.2nd	unifested	UBQ7	20.42
I.GFP.24.2nd	unifested	ACT7	21.4
I.GFP.24.2nd	unifested	PP2A1	27.04
I.GFP.24.2nd	unifested	TMN5	30.31
I.GFP.24.2nd	unifested	UBQ14	26.89
I.GFP.24.2nd	unifested	UBQ7	21.98
I.GFP.27.2nd	unifested	ACT7	22.25
I.GFP.27.2nd	unifested	PP2A1	27.83
I.GFP.27.2nd	unifested	TMN5	32.05
I.GFP.27.2nd	unifested	UBQ14	28.26
I.GFP.27.2nd	unifested	UBQ7	23.87
I.GFP.27.4th	unifested	ACT7	21.15
I.GFP.27.4th	unifested	PP2A1	26.89
I.GFP.27.4th	unifested	TMN5	31.3
I.GFP.27.4th	unifested	UBQ14	27.12
I.GFP.27.4th	unifested	UBQ7	22.75
I.GFP.3.2nd	unifested	ACT7	21.97
I.GFP.3.2nd	unifested	PP2A1	27.71
I.GFP.3.2nd	unifested	TMN5	31.58
I.GFP.3.2nd	unifested	UBQ14	28.05
I.GFP.3.2nd	unifested	UBQ7	23.59
I.GFP.4.4th	unifested	ACT7	22.95
I.GFP.4.4th	unifested	PP2A1	28.96
I.GFP.4.4th	unifested	TMN5	32.26
I.GFP.4.4th	unifested	UBQ14	28.13
I.GFP.4.4th	unifested	UBQ7	23.84
I.GFP.7.2nd	unifested	ACT7	20.23
I.GFP.7.2nd	unifested	PP2A1	25.91
I.GFP.7.2nd	unifested	TMN5	30.39
I.GFP.7.2nd	unifested	UBQ14	26.02
I.GFP.7.2nd	unifested	UBQ7	21.48
I.GFP.8.4th	unifested	ACT7	23.15
I.GFP.8.4th	unifested	PP2A1	29.18
I.GFP.8.4th	unifested	TMN5	32.14
I.GFP.8.4th	unifested	UBQ14	29.56
I.GFP.8.4th	unifested	UBQ7	24.16
Unif.21.2nd	fourteen	ACT7	20.93
Unif.21.2nd	fourteen	PP2A1	26.87
Unif.21.2nd	fourteen	TMN5	29.2
Unif.21.2nd	fourteen	UBQ14	26.3
Unif.21.2nd	fourteen	UBQ7	21.48
I.Unif.1.2nd	fourteen	ACT7	23.05
I.Unif.1.2nd	fourteen	PP2A1	30.73
I.Unif.1.2nd	fourteen	TMN5	32.72
I.Unif.1.2nd	fourteen	UBQ14	29.27
I.Unif.1.2nd	fourteen	UBQ7	28.72
I.Unif.1.4th	fourteen	ACT7	21.05
I.Unif.1.4th	fourteen	PP2A1	27.12
I.Unif.1.4th	fourteen	TMN5	29.67
I.Unif.1.4th	fourteen	UBQ14	27.1
I.Unif.1.4th	fourteen	UBQ7	21.15
I.Unif.13.2nd	fourteen	ACT7	22.35
I.Unif.13.2nd	fourteen	PP2A1	28.47
I.Unif.13.2nd	fourteen	TMN5	30.66
I.Unif.13.2nd	fourteen	UBQ14	23.51
I.Unif.13.2nd	fourteen	UBQ7	27.73
I.Unif.9.2nd	fourteen	ACT7	20.66
I.Unif.9.2nd	fourteen	PP2A1	26.62
I.Unif.9.2nd	fourteen	TMN5	30.21
I.Unif.9.2nd	fourteen	UBQ14	26.34
I.Unif.9.2nd	fourteen	UBQ7	21.93
Unif.21.2nd	fourteen	ACT7	20.93
Unif.21.2nd	fourteen	PP2A1	26.87
Unif.21.2nd	fourteen	TMN5	29.2
Unif.21.2nd	fourteen	UBQ14	26.3
Unif.21.2nd	fourteen	UBQ7	21.48
I.Unif.1.2nd	fourteen	ACT7	23.05
I.Unif.1.2nd	fourteen	PP2A1	30.73
I.Unif.1.2nd	fourteen	TMN5	32.72
I.Unif.1.2nd	fourteen	UBQ14	29.27
I.Unif.1.2nd	fourteen	UBQ7	28.72
I.Unif.1.4th	fourteen	ACT7	21.05
I.Unif.1.4th	fourteen	PP2A1	27.12
I.Unif.1.4th	fourteen	TMN5	29.67
I.Unif.1.4th	fourteen	UBQ14	27.1
I.Unif.1.4th	fourteen	UBQ7	21.15
I.Unif.13.2nd	fourteen	ACT7	22.35
I.Unif.13.2nd	fourteen	PP2A1	28.47
I.Unif.13.2nd	fourteen	TMN5	30.66
I.Unif.13.2nd	fourteen	UBQ14	23.51
I.Unif.13.2nd	fourteen	UBQ7	27.73
I.Unif.9.2nd	fourteen	ACT7	20.66
I.Unif.9.2nd	fourteen	PP2A1	26.62
I.Unif.9.2nd	fourteen	TMN5	30.21
I.Unif.9.2nd	fourteen	UBQ14	26.34
I.Unif.9.2nd	fourteen	UBQ7	21.93
I.GFP.17.2nd	fourteen	ACT7	22.6
I.GFP.17.2nd	fourteen	PP2A1	28.64
I.GFP.17.2nd	fourteen	TMN5	31.41
I.GFP.17.2nd	fourteen	UBQ14	28.7
I.GFP.17.2nd	fourteen	UBQ7	23.72
I.GFP.21.2nd	fourteen	ACT7	20.76
I.GFP.21.2nd	fourteen	PP2A1	27.13
I.GFP.21.2nd	fourteen	TMN5	29.75
I.GFP.21.2nd	fourteen	UBQ14	22.11
I.GFP.21.2nd	fourteen	UBQ7	26.33
I.GFP.25.4th	fourteen	ACT7	21.13
I.GFP.25.4th	fourteen	PP2A1	27.29
I.GFP.25.4th	fourteen	TMN5	29.56
I.GFP.25.4th	fourteen	UBQ14	27.72
I.GFP.25.4th	fourteen	UBQ7	22.66
I.GFP.5.2nd	fourteen	ACT7	21.41
I.GFP.5.2nd	fourteen	PP2A1	27.3
I.GFP.5.2nd	fourteen	TMN5	29.51
I.GFP.5.2nd	fourteen	UBQ14	22.28
I.GFP.5.2nd	fourteen	UBQ7	26.57
I.GFP.9.2nd	fourteen	ACT7	21.66
I.GFP.9.2nd	fourteen	PP2A1	27.29
I.GFP.9.2nd	fourteen	TMN5	30.04
I.GFP.9.2nd	fourteen	UBQ14	27.01
I.GFP.9.2nd	fourteen	UBQ7	22.71
I.GFP.9.4th	fourteen	ACT7	21.04
I.GFP.9.4th	fourteen	PP2A1	26.87
I.GFP.9.4th	fourteen	TMN5	29.5
I.GFP.9.4th	fourteen	UBQ14	26.81
I.GFP.9.4th	fourteen	UBQ7	22.04
I.Unif.11.2nd	fourteen	ACT7	21.18
I.Unif.11.2nd	fourteen	PP2A1	26.72
I.Unif.11.2nd	fourteen	TMN5	30.11
I.Unif.11.2nd	fourteen	UBQ14	27.38
I.Unif.11.2nd	fourteen	UBQ7	22.13
I.Unif.15.2nd	fourteen	ACT7	21.37
I.Unif.15.2nd	fourteen	PP2A1	27.83
I.Unif.15.2nd	fourteen	TMN5	31.99
I.Unif.15.2nd	fourteen	UBQ14	28.18
I.Unif.15.2nd	fourteen	UBQ7	23.32
I.Unif.19.2nd	fourteen	ACT7	20.81
I.Unif.19.2nd	fourteen	PP2A1	26.97
I.Unif.19.2nd	fourteen	TMN5	30.62
I.Unif.19.2nd	fourteen	UBQ14	26.88
I.Unif.19.2nd	fourteen	UBQ7	21.02
I.Unif.23.2nd	fourteen	ACT7	22.51
I.Unif.23.2nd	fourteen	PP2A1	28.6
I.Unif.23.2nd	fourteen	TMN5	31.74
I.Unif.23.2nd	fourteen	UBQ14	22.83
I.Unif.23.2nd	fourteen	UBQ7	28.19
I.Unif.3.2nd	fourteen	ACT7	20.42
I.Unif.3.2nd	fourteen	PP2A1	27.39
I.Unif.3.2nd	fourteen	TMN5	30.25
I.Unif.3.2nd	fourteen	UBQ14	26.29
I.Unif.3.2nd	fourteen	UBQ7	22.08
I.Unif.7.2nd	fourteen	ACT7	20.69
I.Unif.7.2nd	fourteen	PP2A1	26.5
I.Unif.7.2nd	fourteen	TMN5	30.78
I.Unif.7.2nd	fourteen	UBQ14	26.94
I.Unif.7.2nd	fourteen	UBQ7	22.29
I.Unif.7.4th	fourteen	ACT7	20.9
I.Unif.7.4th	fourteen	PP2A1	26.71
I.Unif.7.4th	fourteen	TMN5	30.55
I.Unif.7.4th	fourteen	UBQ14	27.54
I.Unif.7.4th	fourteen	UBQ7	21.5
I.Unif.11.2nd	fourteen	ACT7	21.18
I.Unif.11.2nd	fourteen	PP2A1	26.72
I.Unif.11.2nd	fourteen	TMN5	30.11
I.Unif.11.2nd	fourteen	UBQ14	27.38
I.Unif.11.2nd	fourteen	UBQ7	22.13
I.Unif.15.2nd	fourteen	ACT7	21.37
I.Unif.15.2nd	fourteen	PP2A1	27.83
I.Unif.15.2nd	fourteen	TMN5	31.99
I.Unif.15.2nd	fourteen	UBQ14	28.18
I.Unif.15.2nd	fourteen	UBQ7	23.32
